No.,Rule ID,Business Rule Description,Category,Rationale / Purpose,Source,Impact,Status,Related Req.,Notes
1,BR-01,Users must register with a valid email address and confirm email verification before accessing the platform.,Validation,Ensure legitimate users and prevent spam accounts,Stakeholder,Authentication/Security,Approved,FR-01;FR-143,Email format validation and verification flow required
2,BR-02,A user can only have one active student profile at a time.,Data Integrity,Prevent duplicate student records and maintain data consistency,Business Policy,Database Schema,Approved,FR-119;FR-144,Profile uniqueness constraint in database
3,BR-03,Only users with OTTOBIT_ADMIN role can access administrative functions and map designer.,Security,Restrict sensitive system operations to authorized personnel only,Security Policy,Access Control,Approved,FR-08-FR-128;FR-145,Role-based access control implementation required
4,BR-04,Blockly programs must contain at least one 'start' block before execution.,Validation,Ensure programs have proper entry point for execution,Technical Requirement,Program Execution,Approved,FR-03;FR-42;FR-146,Frontend validation before sending to Phaser engine
5,BR-05,Map completion progress must be tracked and persistent across user sessions.,Process,Enable learning progress tracking and course advancement,Educational Policy,User Experience,Approved,FR-02;FR-07;FR-147,Store completion data in database with user association
6,BR-06,Challenge submissions must include the complete Blockly program JSON for evaluation.,Data,Enable automated grading and solution replay functionality,Technical Requirement,Assessment,Approved,FR-131-FR-142;FR-148,JSON schema validation required
7,BR-07,Users cannot access premium courses without active enrollment status.,Business Logic,Ensure proper course access control and revenue protection,Business Policy,Content Access,Approved,FR-07;FR-127-FR-138;FR-149,Enrollment validation middleware required
8,BR-08,Phaser game engine must validate program execution and return appropriate success/error responses.,Integration,Ensure reliable feedback for user programming attempts,Technical Requirement,Game Integration,Approved,FR-04;FR-05;FR-150,Message protocol implementation with error handling
9,BR-09,User session tokens must be refreshed automatically before expiration.,Security,Maintain seamless user experience while ensuring security,Security Policy,Authentication,Approved,FR-01;FR-151,JWT refresh token mechanism implementation
10,BR-10,Student profiles must include mandatory fields: full name and date of birth.,Validation,Ensure proper student identification for educational compliance,Educational Policy,Data Collection,Approved,FR-119-FR-131;FR-152,Form validation with required field checking
11,BR-11,System must support concurrent users without performance degradation.,Performance,Ensure scalable platform for classroom and individual usage,Technical Requirement,System Performance,Approved,NFR-01;NFR-11;FR-153,Load testing and optimization required
12,BR-12,Visual programming blocks must snap together only with compatible connection types.,Usability,Prevent invalid program constructions and reduce user errors,Technical Requirement,User Interface,Approved,FR-03;FR-42;FR-154,Blockly connection type validation
13,BR-13,Robot simulation must accurately reflect real-world physics and constraints.,Accuracy,Ensure educational value and realistic learning experience,Educational Policy,Simulation Quality,Approved,FR-04;FR-155,Physics engine configuration and testing
14,BR-14,User-generated content (programs/solutions) must be stored securely with user ownership.,Data Protection,Protect intellectual property and comply with privacy regulations,Legal/Privacy,Data Security,Approved,FR-131-FR-142;FR-156,Encrypted storage with user association
15,BR-15,Course pricing and enrollment rules must be configurable by administrators.,Business Logic,Allow flexible business model adaptation without code changes,Business Policy,System Configuration,Draft,FR-08-FR-28;FR-157,Admin configuration interface needed
16,BR-16,"A single map tile can only contain one interactive item (e.g., battery, box) at a time.",Game Logic,Ensure clear game state and simplify player interaction logic.,Game Design,Map Editor,Proposed,FR-53-FR-71;FR-158,The map editor must enforce this constraint during level creation
17,BR-17,"Users must comply with comment submission rate limits: maximum 3 comments per 60 seconds, minimum 5-second cooldown between comments, and no duplicate content within 10 minutes per blog post.",Security/Validation,Prevent comment spam and ensure quality engagement while maintaining system performance,Anti-Spam Policy,User Experience & System Security,Approved,FR-134,"Cache-based throttling implementation with 3 rules: 5s cooldown, max 3 comments/60s, duplicate content blocked for 10 minutes"
18,BR-18,"Blog view count increments only once per user session and requires meeting engagement criteria: 30-second minimum viewing time, 50% content scroll completion, and session-based tracking to prevent artificial view inflation.",Process/Analytics,Ensure accurate engagement metrics by validating genuine user interest and preventing view count manipulation,Business Policy,User Analytics & Data Integrity,Approved,FR-135,"Implementation uses sessionStorage tracking, 30-second timer, scroll progress monitoring, and single increment per session per blog post"
19,BR-19,"Course images must be valid formats (jpg, png, gif) with maximum size of 5MB.",Validation,Ensure proper image format and size for course display,Business Rule,File Upload,Approved,FR-14,Image format and size validation required
