No.,Req ID,Type,Requirement Description,Category,Priority,Source,Acceptance Criteria,Status,Notes
1,FR-01,FR,The system shall allow users to register an account with email and password.,User Management,High,Stakeholder,"User can sign up, confirmation email sent successfully.",Draft,Password ≥ 6 chars.
2,FR-02,FR,The system displays the list of levels as a map or list.,Gameplay,High,Stakeholder,Users see the levels and can select one to start.,Draft,Completed levels should be marked.
3,FR-03,FR,The system provides a Blockly workspace for dragging and dropping command blocks.,Core Gameplay,High,Business Rule,"Users can drag command blocks (forward, backward, turn, pick up items) and assemble them.",Draft,Basic command blocks are required to control the robot.
4,FR-04,FR,The system executes the command string from Blockly and simulates the robot's actions.,Core Gameplay,High,Business Rule,The robot moves on the game grid corresponding to the command sequence. Animation must be smooth.,Draft,Handles cases where the robot crashes into walls or makes invalid moves.
5,FR-05,FR,The system determines and displays the win/loss results of the game.,Gameplay,High,Stakeholder,"Display ""Success"" message when robot collects enough items. Display ""Try again"" when failed.",Draft,
6,FR-06,FR,The system displays a list of available Courses.,Navigation,High,Stakeholder,"On the main page, the user sees a list of all courses.",Draft,
7,FR-07,FR,The system allows users to select a course to view a list of Lessons within.,Navigation,High,Stakeholder,"When you click on a lesson, a list of challenges (levels) for that lesson will appear.",Draft,Need to display progress of completion of each lesson.
8,FR-07,FR,The system allows users to select a lesson to view a list of Challenges.,Navigation,High,Stakeholder,"When you click on a lesson, a list of challenges (levels) for that lesson will appear.",Draft,All challenges are accessible from the start.
9,NFR-01,NFR,The user interface should be compatible and easy to use on both web and mobile.,Usability,High,Stakeholder,UI elements display well on desktop and mobile screens. Drag and drop works smoothly on both mouse and touch.,Draft,Need to test on popular screen sizes.
10,NFR-02,NFR,The system must respond quickly when the user drags and drops blocks and runs the program.,Performance,High,Stakeholder,"The delay from pressing the ""Run"" button until the robot starts moving must be less than 1 seconds.",Draft,Test with long command strings (50+ blocks).
11,NFR-03,NFR,The system must keep user account information secure.,Security,High,Policy,User passwords in the database must be hashed using a secure algorithm.,Draft,
12,NFR-04,NFR,Web applications must be compatible and work stably on popular browsers.,Compatibility,High,Stakeholder,"All functions work properly on the latest 2 versions of Google Chrome, Firefox and Safari.",Draft,The interface is not broken or skewed on these browsers.
13,NFR-05,NFR,The project code structure must be clear and easy to understand for easy maintenance.,Maintainability,Medium,Mentor,Code is commented in complex logic sections. Functional modules are clearly separated.,Draft,Design principles such as SOLID can be applied.
